60.78|2.66|31.37|1896|
49.75|2.14|33.43|1957|
56.12|2.36|32.37|1762|
47.00|2.01|31.18|1814|
54.07|2.41|30.11|1802|
51.26|2.18|32.15|1826|
52.24|2.25|24.92|1669|
60.29|2.64|31.90|1890|
42.44|1.86|34.40|1876|
43.14|1.88|31.25|1733|
49.50|2.14|30.57|1721|
56.06|2.38|31.05|1743|
57.43|2.49|30.91|1858|
51.72|2.24|32.58|1801|
55.67|2.42|31.62|1706|
47.83|2.12|30.51|1840|
49.24|2.08|30.96|1611|
58.59|2.48|27.94|1718|
50.75|2.16|30.81|1626|
51.49|2.23|33.02|1867|
49.75|2.09|31.24|1859|
57.49|2.55|30.87|2002|
49.50|2.14|30.76|1801|
50.25|2.11|32.69|1759|
51.79|2.17|28.52|1767|
46.19|1.95|30.71|1809|
46.31|2.01|31.43|1838|
44.67|1.88|31.91|1778|
51.17|2.33|30.53|1779|
51.46|2.27|31.42|1758|
55.94|2.42|30.46|1853|
54.64|2.27|30.85|1814|
67.16|2.88|29.39|1802|
44.02|1.97|47.44|1972|
44.56|1.84|32.14|1738|
53.96|2.33|31.55|1839|
53.30|2.25|26.78|1739|
52.22|2.27|31.08|1894|
46.77|2.01|31.18|1727|
62.81|2.67|33.40|1875|
57.84|2.53|34.65|1812|
51.71|2.27|29.40|1613|
60.78|2.65|28.26|1904|
52.22|2.27|35.25|1779|
55.10|2.31|30.87|1740|
45.77|1.97|31.34|1757|
50.00|2.18|27.20|1669|
57.43|2.48|30.94|1866|
44.78|1.93|31.10|1794|
50.75|2.16|32.81|1911|
56.00|2.40|30.92|1798|
59.80|2.62|28.72|1740|
63.18|2.71|31.48|1889|
43.20|1.90|30.58|1891|
60.00|2.56|31.22|1899|
56.28|2.39|32.35|1863|
53.43|2.33|31.19|1713|
50.24|2.20|29.50|1752|
53.69|2.34|32.69|1950|
58.65|2.61|31.94|1866|
